,,
Academy Of Managed Care Pharmacy,2017 Corporate Membership Renewal in AMCP,"$10,000.00"
Academy Of Managed Care Pharmacy,Sponsorship of the AMCP 2017 Partnership Forum,"$15,000.00"
Adult Vaccine Access Coalition,Adult Vaccine Access Coalition (AVAC) Membership Request,"$27,500.00"
Adult Vaccine Access Coalition,Adult Vaccine Access Coalition (AVAC) Membership Request,"$27,500.00"
Advancing Knowledge In Healthcare,Lupus in the Veteran Community: Diagnostic Considerations,"$215,000.00"
Albert B Sabin Vaccine Institute,2017 Latin America Vaccine Awareness Journalist information session - Argentina,"$100,000.00"
Albert B Sabin Vaccine Institute,"Ciro De Quadros Vaccinology Course For Latin America [1st Year : 7th to 11th December 2015 in 
Santiago (CHILE)]","$105,250.00"
Albert B Sabin Vaccine Institute,"Coalition Against Typhoid (Kampala, Uganda)","$5,600.00"
Allergy & Asthma Network Mothers Of Asthmatics Inc,2017 Corporate Council,"$25,000.00"
Allergy & Asthma Network Mothers Of Asthmatics Inc,Allergy & Asthma Awareness Day 2017,"$10,000.00"
Allergy And Asthma Network Mothers,Research and Development Support Services Program,"$50,000.00"
Alliance For Aging Research,2017 FDA/CMS Roundtable Educational Event,"$15,000.00"
Alliance For Aging Research,Our Best Shot: Safeguarding U.S. Vaccination Policy and Programs for All Americans,"$100,000.00"
Alliance For Biosecurity,2017 Membership in the Alliance for Biosecurity,"$14,500.00"
Alliance For Biosecurity,2017 Membership in the Alliance for Biosecurity,"$14,500.00"
Alliance For Patient Access,2017 AFPA Associate Membership,"$25,000.00"
Alliance For Regenerative Medicine,Annual ARM Membership Renewal,"$99,999.99"
Alma Sana,Save the Children- GSK Health Innovation Award for immunization work in Nigeria,"$100,000.00"
American Academy Of Continiuing Medical Education,Severe Asthma: Enhancing Outcomes Through Pharmacist Intervention,"$57,500.00"
American Academy Of Family Physicians,"2017 FMX 60 Minute Interactive Lecture and Problem-Based Learning Workshop titled, Asthma in Adults","$33,000.00"
