"NICS Firearm Background Checks
November - 2015",,,,,,,,,,,,,,,,,,,,,,,,
State / Territory,Permit  Handgun Long Gun *Other **Multiple Admin,,,,,,"Pre-Pawn
Handgun Long Gun *Other",,,"Redemption
Handgun Long Gun *Other",,,"Returned/Disposition
Handgun Long Gun *Other",,,"Rentals
Handgun Long Gun",,"Private Sale
Handgun Long Gun *Other",,,"Return to Seller - Private Sale
Handgun Long Gun *Other",,,Totals
"Alabama
Alaska
Arizona
Arkansas
California","18,870
209
2,303
3,298
98452","23,022
3,062
12,382
6,359
41181","22,650
3,209
9,041
11,611
35007","859
191
707
168
4559","1,178
184
618
376
0","0
0
0
0
0","14
9
5
12
0","15
3
3
6
0","0
0
0
1
0","2,179
100
1,273
922
480","2,307
100
648
2,275
433","11
0
4
1
4","0
18
76
0
0","0
9
8
0
0","0
1
1
0
0",,,"13
0
9
6
0","14
0
6
12
0","0
0
1
1
0","3
0
1
0
0","2
0
1
0
0","0
0
0
0
0","71,137
7,095
27,087
25,048
180116"
"Colorado
Connecticut
Delaware
District of Columbia
Florida","4,144
9,631
204
8
15,907","19,784
11,594
2,152
54
50,796","16,082
5,072
2,424
2
28,981","932
134
65
0
2,268","1,151
0
72
0
1,957","0
7
0
0
121","0
0
3
0
8","0
0
4
0
9","0
0
0
0
0","0
0
17
0
2,248","0
0
12
0
1,135","0
0
0
0
2","144
0
0
0
40","34
0
0
0
5","0
0
0
0
0",,,"0
0
59
0
36","0
0
24
0
19","0
0
0
0
0","0
0
4
0
0","0
0
0
0
0","0
0
0
0
0","42,271
26,438
5,040
64
103,532"
"Georgia
Guam
Hawaii
Idaho
Illinois","14,111
0
1,248
1,944
87,190","16,635
100
0
3,609
24,412","15,227
55
0
5,227
17,227","448
12
0
190
0","758
3
0
189
1,032","0
0
0
0
0","10
0
0
0
0","14
0
0
4
0","0
0
0
0
0","1,772
1
0
273
0","1,796
0
0
455
0","4
0
0
1
0","0
0
1
22
0","0
0
3
4
0","0
0
0
1
0",,,"10
0
0
1
0","9
0
0
2
0","1
0
0
0
0","0
0
0
0
0","0
0
0
3
0","0
0
0
0
0","50,795
171
1,252
11,925
129,861"
"Indiana
Iowa
Kansas
Kentucky
Louisiana","81,935
8,785
894
264,140
1,945","25,519
267
7,086
12,155
14,708","20,227
4,596
8,702
14,847
17,368","1,113
27
311
254
697","808
4
396
648
793","0
37
3
1
0","2
0
1
9
5","3
1
3
11
11","0
0
1
0
2","13
0
486
1,491
884","629
71
530
2,315
1,323","5
0
2
2
3","28
4
2
2
0","0
2
0
2
0","0
0
0
0
0",,,"31
0
6
6
1","13
0
10
8
10","1
0
0
0
1","2
0
0
0
0","4
0
0
0
1","0
0
0
0
0","130,333
13,794
18,433
295,891
37,752"
"Maine
Mariana Islands
Maryland
Massachusetts
Michigan","299
0
1,512
5,214
16,786","4,048
0
3,220
6,083
13,634","4,387
0
8,310
3,931
17,604","135
0
96
402
385","171
0
9
175
238","2
0
0
0
1,025","0
0
0
0
1","0
0
3
1
4","0
0
0
0
0","70
0
72
2
5","165
0
213
5
489","0
0
2
0
2","6
0
14
1
69","7
0
3
0
24","0
0
1
1
0",,,"4
0
1
42
4","3
0
6
23
1","0
0
1
5
1","0
0
0
0
2","0
0
0
0
3","0
0
0
0
1","9,297
0
13,463
15,885
50,278"
"Minnesota
Mississippi
Missouri
Montana
Nebraska","18,939
618
5,884
852
4,258","9,373
9,785
21,135
2,848
173","14,173
13,191
22,852
5,170
3,724","486
267
1,004
90
23","330
523
1,060
197
10","0
9
0
10
0","1
28
11
1
1","2
20
16
4
0","0
0
0
6
0","176
1,171
1,131
391
5","512
1,874
1,754
828
96","0
1
3
1
1","8
0
99
11
7","11
0
11
4
0","0
0
4
0
0",,,"2
6
33
0
0","6
6
25
2
0","0
3
6
0
1","0
2
0
0
0","2
0
3
0
0","2
0
0
0
0","44,023
27,504
55,031
10,415
8,299"
"Nevada
New Hampshire
New Jersey
New Mexico
New York","1,543
3,630
0
829
2,906","4,889
4,847
3,462
5,247
8,650","3,272
4,165
4,704
4,974
23,519","193
95
147
334
665","287
2
0
277
149","0
1
0
0
0","0
0
0
2
0","0
0
0
3
3","0
0
0
1
0","284
0
0
397
16","163
23
0
618
25","0
1
0
1
0","1
69
0
33
0","0
11
0
0
0","0
1
0
0
0",,,"0
2
0
0
243","0
2
0
4
220","0
0
0
0
16","0
0
0
1
5","0
1
0
0
4","0
0
0
0
0","10,632
12,850
8,313
12,721
36,421"
"North Carolina
North Dakota
Ohio
Oklahoma
Oregon","22,469
453
9,338
0
35","1,370
1,720
34,878
15,005
13,586","20,107
3,744
31,817
14,753
11,832","576
65
1,392
778
0","202
79
1,483
998
0","0
0
0
0
0","16
0
24
11
0","25
3
16
7
0","0
0
1
1
0","1,771
65
1,228
1,639
0","2,644
157
1,389
2,226
0","7
0
4
6
0","0
0
0
0
0","0
0
0
0
0","0
0
0
0
0",,,"2
1
21
11
0","26
1
22
21
0","1
0
1
0
0","1
0
1
0
0","0
0
0
1
0","0
0
1
0
0","49,217
6,288
81,616
35,457
25,453"
